,App_comb,conf,house_type,LCOE,discount_rate
192,2.0,4.0,SFH45,0.7363823045231948,0.04
193,2.0,4.0,SFH15,0.565177430355113,0.04
194,2.0,4.0,SFH15,0.8773438787935092,0.04
195,2.0,4.0,SFH15,0.9026444972264653,0.04
196,2.0,4.0,SFH45,0.5751069244483514,0.04
197,2.0,6.0,SFH100,0.6147338040356779,0.04
198,2.0,6.0,SFH100,0.6428049360540511,0.04
199,2.0,6.0,SFH100,0.560577665725342,0.04
200,2.0,6.0,SFH100,0.555430748965241,0.04
201,2.0,2.0,SFH100,0.5349243477599902,0.04
202,2.0,2.0,SFH100,0.5678166861056233,0.04
203,2.0,2.0,SFH15,0.8513409449898147,0.04
204,2.0,2.0,SFH45,0.46137359353327406,0.04
205,2.0,2.0,SFH45,0.4637305356326489,0.04
206,2.0,4.0,SFH45,0.5556887418355942,0.04
207,2.0,4.0,SFH45,0.5918173755286884,0.04
208,2.0,4.0,SFH15,1.0150371998626933,0.04
209,2.0,4.0,SFH15,0.8701127819859106,0.04
210,2.0,4.0,SFH15,1.0232323462319237,0.04
211,2.0,4.0,SFH45,0.8011068576298171,0.04
212,2.0,6.0,SFH100,0.544761200268048,0.04
213,2.0,6.0,SFH100,0.6001674923409279,0.04
214,2.0,6.0,SFH100,0.5896467257154822,0.04
215,2.0,6.0,SFH100,0.5527575207678697,0.04
216,2.0,2.0,SFH100,0.5183925288691678,0.04
217,2.0,2.0,SFH15,0.6782588059784566,0.04
218,2.0,2.0,SFH100,0.5470520418223997,0.04
219,2.0,2.0,SFH45,0.41809429002346155,0.04
220,2.0,2.0,SFH45,0.5904784176945286,0.04
221,2.0,4.0,SFH45,0.5224029241833957,0.04
222,2.0,4.0,SFH45,0.6534921333434445,0.04
223,2.0,4.0,SFH15,0.6727666053863423,0.04
224,2.0,4.0,SFH15,0.8036727617599566,0.04
225,2.0,4.0,SFH15,0.8611394101168417,0.04
226,2.0,4.0,SFH45,0.7170944136344835,0.04
227,2.0,6.0,SFH100,0.6045950483385627,0.04
228,2.0,6.0,SFH100,0.5679574928215868,0.04
229,2.0,6.0,SFH100,0.6847295841409596,0.04
230,2.0,6.0,SFH100,0.5642257701012299,0.04
231,2.0,2.0,SFH15,0.6053799732801306,0.04
232,2.0,2.0,SFH100,0.5159514737207116,0.04
233,2.0,2.0,SFH100,0.5176429559182931,0.04
234,2.0,2.0,SFH45,0.5086061867614193,0.04
235,2.0,2.0,SFH45,0.5843646388140314,0.04
236,2.0,4.0,SFH45,0.6339860362728619,0.04
237,2.0,4.0,SFH45,0.5368728664641426,0.04
238,2.0,4.0,SFH15,0.5515007800168452,0.04
239,2.0,4.0,SFH15,1.0684740437961096,0.04
240,2.0,4.0,SFH15,0.5834679181720114,0.04
241,2.0,4.0,SFH45,0.8598287452162222,0.04
242,2.0,6.0,SFH100,0.6062965282847891,0.04
243,2.0,6.0,SFH100,0.6679074331360462,0.04
244,2.0,6.0,SFH100,0.5941097717276511,0.04
245,2.0,6.0,SFH100,0.613323070000081,0.04
246,2.0,2.0,SFH100,0.5117630535435025,0.04
247,2.0,2.0,SFH45,0.5661662733452262,0.04
248,2.0,2.0,SFH15,0.6735061933035013,0.04
249,2.0,2.0,SFH100,0.5089769797057916,0.04
250,2.0,2.0,SFH45,0.46277203487964397,0.04
