index;Price_flat;Price_DT;Export_price;Price_flat_mod;Price_DT_mod
02/01/2015 03:15;0.22;0.1646;0.02766;0.1716;0.130034
02/01/2015 03:30;0.22;0.1646;0.02766;0.1716;0.130034
02/01/2015 03:45;0.22;0.1646;0.02766;0.1716;0.130034
02/01/2015 04:00;0.22;0.1646;0.028;0.1716;0.130034
02/01/2015 04:15;0.22;0.1646;0.028;0.1716;0.130034
02/01/2015 04:30;0.22;0.1646;0.028;0.1716;0.130034
02/01/2015 04:45;0.22;0.1646;0.028;0.1716;0.130034
02/01/2015 05:00;0.22;0.1646;0.03344;0.1716;0.130034
02/01/2015 05:15;0.22;0.1646;0.03344;0.1716;0.130034
02/01/2015 05:30;0.22;0.1646;0.03344;0.1716;0.130034
02/01/2015 05:45;0.22;0.1646;0.03344;0.1716;0.130034
02/01/2015 06:00;0.22;0.2588;0.0371;0.1716;0.204452
02/01/2015 06:15;0.22;0.2588;0.0371;0.1716;0.204452
02/01/2015 06:30;0.22;0.2588;0.0371;0.1716;0.204452
02/01/2015 06:45;0.22;0.2588;0.0371;0.1716;0.204452
02/01/2015 07:00;0.22;0.2588;0.03934;0.1716;0.204452
02/01/2015 07:15;0.22;0.2588;0.03934;0.1716;0.204452
02/01/2015 07:30;0.22;0.2588;0.03934;0.1716;0.204452
02/01/2015 07:45;0.22;0.2588;0.03934;0.1716;0.204452
02/01/2015 08:00;0.22;0.2588;0.04182;0.1716;0.204452
02/01/2015 08:15;0.22;0.2588;0.04182;0.1716;0.204452
02/01/2015 08:30;0.22;0.2588;0.04182;0.1716;0.204452
02/01/2015 08:45;0.22;0.2588;0.04182;0.1716;0.204452
02/01/2015 09:00;0.22;0.2588;0.04219;0.1716;0.204452
02/01/2015 09:15;0.22;0.2588;0.04219;0.1716;0.204452
02/01/2015 09:30;0.22;0.2588;0.04219;0.1716;0.204452
02/01/2015 09:45;0.22;0.2588;0.04219;0.1716;0.204452
02/01/2015 10:00;0.22;0.2588;0.043;0.1716;0.204452
02/01/2015 10:15;0.22;0.2588;0.043;0.1716;0.204452
02/01/2015 10:30;0.22;0.2588;0.043;0.1716;0.204452
02/01/2015 10:45;0.22;0.2588;0.043;0.1716;0.204452
02/01/2015 11:00;0.22;0.2588;0.04402;0.1716;0.204452
02/01/2015 11:15;0.22;0.2588;0.04402;0.1716;0.204452
02/01/2015 11:30;0.22;0.2588;0.04402;0.1716;0.204452
02/01/2015 11:45;0.22;0.2588;0.04402;0.1716;0.204452
02/01/2015 12:00;0.22;0.2588;0.04248;0.1716;0.204452
02/01/2015 12:15;0.22;0.2588;0.04248;0.1716;0.204452
02/01/2015 12:30;0.22;0.2588;0.04248;0.1716;0.204452
02/01/2015 12:45;0.22;0.2588;0.04248;0.1716;0.204452
02/01/2015 13:00;0.22;0.2588;0.03912;0.1716;0.204452
02/01/2015 13:15;0.22;0.2588;0.03912;0.1716;0.204452
02/01/2015 13:30;0.22;0.2588;0.03912;0.1716;0.204452
02/01/2015 13:45;0.22;0.2588;0.03912;0.1716;0.204452
02/01/2015 14:00;0.22;0.2588;0.03805;0.1716;0.204452
02/01/2015 14:15;0.22;0.2588;0.03805;0.1716;0.204452
02/01/2015 14:30;0.22;0.2588;0.03805;0.1716;0.204452
02/01/2015 14:45;0.22;0.2588;0.03805;0.1716;0.204452
02/01/2015 15:00;0.22;0.2588;0.03949;0.1716;0.204452
02/01/2015 15:15;0.22;0.2588;0.03949;0.1716;0.204452
02/01/2015 15:30;0.22;0.2588;0.03949;0.1716;0.204452
02/01/2015 15:45;0.22;0.2588;0.03949;0.1716;0.204452
02/01/2015 16:00;0.22;0.2588;0.04791;0.1716;0.204452
02/01/2015 16:15;0.22;0.2588;0.04791;0.1716;0.204452
02/01/2015 16:30;0.22;0.2588;0.04791;0.1716;0.204452
02/01/2015 16:45;0.22;0.2588;0.04791;0.1716;0.204452
02/01/2015 17:00;0.22;0.2588;0.05288;0.1716;0.204452
02/01/2015 17:15;0.22;0.2588;0.05288;0.1716;0.204452
02/01/2015 17:30;0.22;0.2588;0.05288;0.1716;0.204452
02/01/2015 17:45;0.22;0.2588;0.05288;0.1716;0.204452
02/01/2015 18:00;0.22;0.2588;0.05296;0.1716;0.204452
02/01/2015 18:15;0.22;0.2588;0.05296;0.1716;0.204452
02/01/2015 18:30;0.22;0.2588;0.05296;0.1716;0.204452
02/01/2015 18:45;0.22;0.2588;0.05296;0.1716;0.204452
02/01/2015 19:00;0.22;0.2588;0.04991;0.1716;0.204452
02/01/2015 19:15;0.22;0.2588;0.04991;0.1716;0.204452
02/01/2015 19:30;0.22;0.2588;0.04991;0.1716;0.204452
02/01/2015 19:45;0.22;0.2588;0.04991;0.1716;0.204452
02/01/2015 20:00;0.22;0.2588;0.04893;0.1716;0.204452
02/01/2015 20:15;0.22;0.2588;0.04893;0.1716;0.204452
02/01/2015 20:30;0.22;0.2588;0.04893;0.1716;0.204452
02/01/2015 20:45;0.22;0.2588;0.04893;0.1716;0.204452
02/01/2015 21:00;0.22;0.2588;0.05;0.1716;0.204452
02/01/2015 21:15;0.22;0.2588;0.05;0.1716;0.204452
02/01/2015 21:30;0.22;0.2588;0.05;0.1716;0.204452
02/01/2015 21:45;0.22;0.2588;0.05;0.1716;0.204452
02/01/2015 22:00;0.22;0.1646;0.04986;0.1716;0.130034
