,Qs,ElectricConsumption,SolarPVProduction
304,8.073,1.826,0.0
305,9.598,3.864,0.0
306,10.245,3.014,0.0
307,10.742,2.666,0.0
308,11.243,2.318,0.0
309,10.639,2.898,0.0
310,10.646,2.898,0.0
311,12.994,0.338,0.0
312,13.264,0.338,0.0
313,13.544,0.338,0.0
314,13.899,0.338,0.0
315,14.058,0.338,0.0
316,14.206,0.338,0.0
317,14.306,0.338,0.0
318,12.587,2.705,0.0
319,13.286,2.318,0.0
320,14.096,0.889,0.0
321,12.215,0.676,0.0
322,13.152,0.676,0.0
323,11.597,1.826,0.0
324,5.063,3.787,0.0
325,6.367,1.681,0.0
326,7.185,0.676,0.0
327,8.14,0.676,0.0
328,8.794,1.826,0.0
329,10.01,3.864,0.0
330,11.017,3.014,0.0
331,11.599,2.666,0.0
332,12.167,2.318,0.0
333,11.756,2.898,0.0
334,12.079,2.898,0.0
335,14.536,0.338,0.0
336,14.803,0.338,0.0
337,15.041,0.338,0.0
338,15.298,0.338,0.0
339,15.42,0.338,0.0
340,15.519,0.338,0.0
341,15.613,0.338,0.0
342,13.937,2.705,0.0
343,14.521,2.318,0.0
344,14.946,0.889,0.0
345,11.227,0.676,0.0
346,9.362,0.676,0.0
347,6.352,1.826,0.0
348,4.306,3.787,0.0
349,6.617,1.681,0.0
350,11.314,0.676,0.0
351,13.127,0.676,0.0
352,12.914,1.826,0.0
353,11.719,3.864,0.0
354,12.484,3.014,0.0
355,12.954,2.666,0.0
356,13.352,2.318,0.0
357,12.812,2.898,0.0
358,12.949,2.898,0.0
359,15.324,0.338,0.0
360,15.467,0.338,0.0
361,15.583,0.338,0.0
362,15.7,0.338,0.0
363,15.81,0.338,0.0
364,15.895,0.338,0.0
365,16.005,0.338,0.0
366,14.156,2.705,0.0
367,14.706,2.318,0.0
368,15.464,0.889,0.0
369,10.589,0.676,0.0
370,8.268,0.676,0.0
371,5.561,1.826,0.0
372,2.233,3.787,0.0
373,3.99,1.681,0.0
374,5.357,0.676,0.0
375,6.638,0.676,0.0
376,7.691,1.826,0.0
377,9.251,3.864,0.0
378,9.943,3.014,0.0
379,10.303,2.666,0.0
380,10.684,2.318,0.0
381,10.097,2.898,0.0
382,10.092,2.898,0.0
383,12.331,0.338,0.0
384,12.438,0.338,0.0
385,12.479,0.338,0.0
386,12.597,0.338,0.0
387,12.622,0.338,0.0
388,12.725,0.338,0.0
389,12.818,0.338,0.0
390,10.974,2.705,0.0
391,11.527,2.318,0.0
392,12.565,0.889,0.0
393,9.928,0.676,0.0
394,7.693,0.676,0.0
395,3.448,1.826,0.0
396,2.569,3.787,0.0
397,3.763,1.681,0.0
398,4.754,0.676,0.0
399,3.58,0.676,0.0
400,6.507,1.826,0.0
401,7.631,3.864,0.0
402,8.565,3.014,0.0
403,9.075,2.666,0.0
404,9.656,2.318,0.0
405,9.13,2.898,0.0
406,9.354,2.898,0.0
407,11.733,0.338,0.0
408,12.018,0.338,0.0
409,12.411,0.338,0.0
410,12.67,0.338,0.0
411,12.897,0.338,0.0
412,13.047,0.338,0.0
413,13.182,0.338,0.0
414,11.493,2.705,0.0
415,12.116,2.318,0.0
416,12.862,0.889,0.0
417,8.001,0.676,0.0
418,5.872,0.676,0.0
419,3.311,1.826,0.0
420,0.0,3.787,0.0
421,1.424,1.681,0.0
422,2.72,0.676,0.0
423,3.852,0.676,0.0
424,5.173,1.826,0.0
425,6.591,3.864,0.0
426,7.613,3.014,0.0
427,8.088,2.666,0.0
428,8.655,2.318,0.0
429,8.209,2.898,0.0
430,8.442,2.898,0.0
431,10.932,0.338,0.0
432,11.096,0.338,0.0
433,11.539,0.338,0.0
434,11.866,0.338,0.0
435,12.001,0.338,0.0
436,12.085,0.338,0.0
437,12.264,0.338,0.0
438,10.462,2.705,0.0
439,11.09,2.318,0.0
440,11.734,0.889,0.0
441,7.085,0.676,0.0
442,4.691,0.676,0.0
443,2.081,1.826,0.0
444,0.0,3.787,0.0
445,0.0,1.681,0.0
446,1.47,0.676,0.0
447,2.625,0.676,0.0
448,3.999,1.826,0.0
449,5.458,3.864,0.0
450,6.499,3.014,0.0
451,7.114,2.666,0.0
452,7.729,2.318,0.0
453,7.396,2.898,0.0
454,7.646,2.898,0.0
455,10.178,0.338,0.0
456,10.631,0.338,0.0
457,11.021,0.338,0.0
458,11.446,0.338,0.0
459,11.692,0.338,0.0
460,11.911,0.338,0.0
461,12.091,0.338,0.0
462,10.447,2.705,0.0
463,11.109,2.318,0.0
464,11.711,0.889,0.0
465,7.491,0.676,0.0
466,5.28,0.676,0.0
467,2.37,1.826,0.0
468,0.0,3.787,0.0
469,0.796,1.681,0.0
470,2.537,0.676,0.0
471,3.575,0.676,0.0
472,4.679,1.826,0.0
473,6.011,3.864,0.0
474,7.179,3.014,0.0
475,7.682,2.666,0.0
476,8.137,2.318,0.0
477,7.731,2.898,0.0
478,7.953,2.898,0.0
479,10.349,0.338,0.0
480,10.403,0.338,0.0
481,10.504,0.338,0.0
482,10.624,0.338,0.0
483,10.647,0.338,0.0
484,10.687,0.338,0.0
485,10.782,0.338,0.0
486,9.061,2.705,0.0
487,9.552,2.318,0.0
488,10.231,0.889,0.0
489,5.949,0.676,0.0
490,3.467,0.676,0.0
491,0.727,1.826,0.0
492,0.0,3.787,0.0
493,0.0,1.681,0.0
494,0.238,0.676,0.0
495,1.265,0.676,0.0
496,2.885,1.826,0.0
497,4.361,3.864,0.0
498,5.277,3.014,0.0
499,5.689,2.666,0.0
500,6.043,2.318,0.0
501,5.468,2.898,0.0
502,5.521,2.898,0.0
503,7.869,0.338,0.0
504,7.886,0.338,0.0
505,8.09,0.338,0.0
506,8.167,0.338,0.0
507,8.225,0.338,0.0
508,8.293,0.338,0.0
509,8.374,0.338,0.0
510,6.633,2.705,0.0
511,7.175,2.318,0.0
512,8.199,0.889,0.0
513,6.689,0.676,0.0
514,5.279,0.676,0.0
515,1.155,1.826,0.0
516,0.0,3.787,0.0
517,0.529,1.681,0.0
518,4.276,0.676,0.0
519,5.184,0.676,0.0
520,5.576,1.826,0.0
521,4.496,3.864,0.0
522,5.451,3.014,0.0
523,5.939,2.666,0.0
524,6.459,2.318,0.0
525,6.02,2.898,0.0
526,6.245,2.898,0.0
527,8.631,0.338,0.0
528,9.177,0.338,0.0
529,9.883,0.338,0.0
530,10.503,0.338,0.0
531,10.972,0.338,0.0
532,11.307,0.338,0.0
533,11.625,0.338,0.0
534,10.136,2.705,0.0
535,10.946,2.318,0.0
536,11.508,0.889,0.0
537,6.761,0.676,0.0
538,4.496,0.676,0.0
539,1.8,1.826,0.0
540,0.0,3.787,0.0
541,0.06,1.681,0.0
542,1.688,0.676,0.0
543,2.802,0.676,0.0
544,4.13,1.826,0.0
545,6.003,3.864,0.0
546,7.392,3.014,0.0
547,8.323,2.666,0.0
548,9.201,2.318,0.0
549,9.15,2.898,0.0
550,9.773,2.898,0.0
551,12.574,0.338,0.0
552,12.995,0.338,0.0
553,13.447,0.338,0.0
554,13.965,0.338,0.0
555,14.248,0.338,0.0
556,14.57,0.338,0.0
557,14.797,0.338,0.0
558,13.184,2.705,0.0
559,13.828,2.318,0.0
560,14.313,0.889,0.0
561,8.906,0.676,0.0
562,6.421,0.676,0.0
563,3.309,1.826,0.0
564,0.0,3.787,0.0
565,1.698,1.681,0.0
566,3.197,0.676,0.0
567,4.414,0.676,0.0
568,6.012,1.826,0.0
569,8.024,3.864,0.0
570,9.28,3.014,0.0
571,9.948,2.666,0.0
572,10.611,2.318,0.0
573,10.323,2.898,0.0
574,10.665,2.898,0.0
575,13.295,0.338,0.0
576,13.534,0.338,0.0
577,13.902,0.338,0.0
578,14.215,0.338,0.0
579,14.409,0.338,0.0
580,14.546,0.338,0.0
581,14.693,0.338,0.0
582,12.955,2.705,0.0
583,13.643,2.318,0.0
584,13.996,0.889,0.0
585,8.607,0.676,0.0
586,5.925,0.676,0.0
587,2.892,1.826,0.0
588,0.0,3.787,0.0
589,1.005,1.681,0.0
590,2.531,0.676,0.0
591,3.591,0.676,0.0
592,5.223,1.826,0.0
593,7.285,3.864,0.0
594,8.317,3.014,0.0
595,8.879,2.666,0.0
596,9.358,2.318,0.0
597,8.906,2.898,0.0
598,9.123,2.898,0.0
599,11.477,0.338,0.0
600,11.659,0.338,0.0
601,11.809,0.338,0.0
602,11.848,0.338,0.0
603,11.911,0.338,0.0
604,12.127,0.338,0.0
605,12.227,0.338,0.0
606,10.455,2.705,0.0
607,10.996,2.318,0.0
608,11.265,0.889,0.0
609,6.217,0.676,0.0
610,3.42,0.676,0.0
611,0.522,1.826,0.0
612,0.0,3.787,0.0
613,0.0,1.681,0.0
614,0.0,0.676,0.0
615,0.832,0.676,0.0
616,2.495,1.826,0.0
617,4.372,3.864,0.0
618,5.289,3.014,0.0
619,5.85,2.666,0.0
620,6.329,2.318,0.0
621,5.927,2.898,0.0
622,6.131,2.898,0.0
623,8.47,0.338,0.0
624,8.725,0.338,0.0
625,8.917,0.338,0.0
626,9.21,0.338,0.0
627,9.259,0.338,0.0
628,9.384,0.338,0.0
629,9.513,0.338,0.0
630,7.803,2.705,0.0
631,8.42,2.318,0.0
632,9.542,0.889,0.0
633,9.098,0.676,0.0
634,7.789,0.676,0.0
635,6.883,1.826,0.0
636,3.486,3.787,0.0
637,1.551,1.681,0.0
638,2.6,0.676,0.0
639,3.077,0.676,0.0
640,1.856,1.826,0.0
641,5.179,3.864,0.0
642,6.217,3.014,0.0
643,6.913,2.666,0.0
644,7.552,2.318,0.0
645,7.216,2.898,0.0
646,7.476,2.898,0.0
647,10.05,0.338,0.0
648,10.35,0.338,0.0
649,10.728,0.338,0.0
650,11.083,0.338,0.0
651,11.242,0.338,0.0
652,11.37,0.338,0.0
653,11.532,0.338,0.0
654,9.906,2.705,0.0
655,10.583,2.318,0.0
656,10.91,0.889,0.0
657,5.765,0.676,0.0
658,4.243,0.676,0.0
659,1.835,1.826,0.0
660,0.0,3.787,0.0
661,1.02,1.681,0.0
662,2.892,0.676,0.0
663,3.285,0.676,0.0
664,3.226,1.826,0.0
665,6.219,3.864,0.0
666,7.395,3.014,0.0
667,7.903,2.666,0.0
668,8.598,2.318,0.0
669,8.232,2.898,0.0
670,8.472,2.898,0.0
671,11.031,0.338,0.0
672,11.216,0.338,0.0
673,11.388,0.338,0.0
674,11.658,0.338,0.0
675,11.758,0.338,0.0
676,11.901,0.338,0.0
677,12.121,0.338,0.0
678,10.398,2.705,0.0
679,10.982,2.318,0.0
680,11.064,0.889,0.0
681,6.631,0.676,0.0
682,4.294,0.676,0.0
683,1.223,1.826,0.0
684,0.0,3.787,0.0
685,0.0,1.681,0.0
686,0.941,0.676,0.0
687,1.76,0.676,0.0
688,2.469,1.826,0.0
689,5.357,3.864,0.0
690,6.305,3.014,0.0
691,6.736,2.666,0.0
692,7.206,2.318,0.0
693,6.653,2.898,0.0
694,6.689,2.898,0.0
695,9.039,0.338,0.0
696,9.049,0.338,0.0
697,9.214,0.338,0.0
698,9.435,0.338,0.0
699,9.473,0.338,0.0
700,9.602,0.338,0.0
701,9.716,0.338,0.0
702,7.918,2.705,0.0
703,8.532,2.318,0.0
704,9.404,0.889,0.0
705,7.273,0.676,0.0
706,5.841,0.676,0.0
707,3.563,1.826,0.0
708,1.248,3.787,0.0
709,3.337,1.681,0.0
710,4.214,0.676,0.0
711,5.768,0.676,0.0
712,7.203,1.826,0.0
713,5.936,3.864,0.0
714,6.791,3.014,0.0
715,7.112,2.666,0.0
716,7.6,2.318,0.0
717,6.853,2.898,0.0
718,6.917,2.898,0.0
719,9.318,0.338,0.0
720,9.001,0.338,0.0
721,8.975,0.338,0.0
722,8.981,0.338,0.0
723,8.977,0.338,0.0
724,8.924,0.338,0.0
725,8.892,0.338,0.0
726,7.031,2.705,0.0
727,7.551,2.318,0.0
728,7.929,0.889,0.0
729,3.896,0.676,0.0
730,0.246,0.676,0.0
731,0.0,1.826,0.0
732,0.0,3.787,0.0
733,0.0,1.681,0.0
734,0.0,0.676,0.0
735,0.45,0.676,0.0
736,2.498,1.826,0.0
737,2.979,3.864,0.0
738,4.141,3.014,0.0
739,4.86,2.666,0.0
740,5.31,2.318,0.0
741,4.936,2.898,0.0
742,5.248,2.898,0.0
743,7.702,0.338,0.0
744,8.098,0.338,0.0
745,8.91,0.338,0.0
746,9.293,0.338,0.0
747,9.62,0.338,0.0
748,9.933,0.338,0.0
749,10.057,0.338,0.0
750,8.45,2.705,0.0
751,9.237,2.318,0.0
752,9.165,0.889,0.0
753,4.928,0.676,0.0
754,2.749,0.676,0.0
755,0.388,1.826,0.0
756,0.0,3.787,0.0
757,0.0,1.681,0.0
758,0.381,0.676,0.0
759,1.687,0.676,0.0
760,2.706,1.826,0.0
761,4.464,3.864,0.0
762,5.607,3.014,0.0
763,6.336,2.666,0.0
764,6.996,2.318,0.0
765,6.62,2.898,0.0
766,7.026,2.898,0.0
767,9.553,0.338,0.0
768,9.834,0.338,0.0
769,10.114,0.338,0.0
770,10.291,0.338,0.0
771,10.389,0.338,0.0
772,10.55,0.338,0.0
773,10.622,0.338,0.0
774,8.893,2.705,0.0
775,9.344,2.318,0.0
776,8.53,0.889,0.0
777,5.511,0.676,0.0
778,3.051,0.676,0.0
779,0.757,1.826,0.0
780,0.0,3.787,0.0
781,0.0,1.681,0.0
782,0.339,0.676,0.0
783,1.366,0.676,0.0
784,1.89,1.826,0.0
785,4.09,3.864,0.0
786,5.305,3.014,0.0
787,5.83,2.666,0.0
788,6.44,2.318,0.0
789,6.028,2.898,0.0
790,6.313,2.898,0.0
791,8.727,0.338,0.0
792,9.031,0.338,0.0
793,9.257,0.338,0.0
794,9.487,0.338,0.0
795,9.593,0.338,0.0
796,9.742,0.338,0.0
797,9.922,0.338,0.0
798,8.136,2.705,0.0
799,8.676,2.318,0.0
800,8.433,0.889,0.0
801,5.07,0.676,0.0
802,2.331,0.676,0.0
803,1.343,1.826,0.0
804,0.0,3.787,0.0
805,0.78,1.681,0.0
806,1.536,0.676,0.0
807,2.628,0.676,0.0
808,4.814,1.826,0.0
809,5.31,3.864,0.0
810,6.495,3.014,0.0
811,7.2,2.666,0.0
812,7.88,2.318,0.0
813,7.52,2.898,0.0
814,7.864,2.898,0.0
815,10.524,0.338,0.0
816,10.729,0.338,0.0
817,11.355,0.338,0.0
818,11.58,0.338,0.0
819,11.726,0.338,0.0
820,11.903,0.338,0.0
821,12.089,0.338,0.0
822,10.477,2.705,0.0
823,11.003,2.318,0.0
824,11.406,0.889,0.0
825,6.178,0.676,0.0
826,5.007,0.676,0.0
827,4.433,1.826,0.0
828,2.241,3.787,0.0
829,4.13,1.681,0.0
830,5.295,0.676,0.0
831,9.252,0.676,0.0
832,8.666,1.826,0.0
833,8.414,3.864,0.0
834,9.43,3.014,0.0
835,9.833,2.666,0.0
836,10.257,2.318,0.0
837,9.634,2.898,0.0
838,9.729,2.898,0.0
839,12.003,0.338,0.0
840,12.085,0.338,0.0
841,11.928,0.338,0.0
842,11.766,0.338,0.0
843,11.643,0.338,0.0
844,11.627,0.338,0.0
845,11.588,0.338,0.0
846,9.712,2.705,0.0
847,10.227,2.318,0.0
848,10.978,0.889,0.0
849,9.459,0.676,0.0
850,9.483,0.676,0.0
851,8.153,1.826,0.0
852,5.64,3.787,0.0
853,2.916,1.681,0.0
854,3.945,0.676,0.0
855,4.083,0.676,0.0
856,4.45,1.826,0.0
857,6.005,3.864,0.0
858,7.1,3.014,0.0
859,7.546,2.666,0.0
860,8.052,2.318,0.0
861,7.577,2.898,0.0
862,7.68,2.898,0.0
863,10.101,0.338,0.0
864,10.455,0.338,0.0
865,10.848,0.338,0.0
866,11.214,0.338,0.0
867,11.492,0.338,0.0
868,11.701,0.338,0.0
869,11.937,0.338,0.0
870,10.228,2.705,0.0
871,10.826,2.318,0.0
872,11.975,0.889,0.0
873,6.638,0.676,0.0
874,5.086,0.676,0.0
875,4.217,1.826,0.0
876,1.694,3.787,0.0
877,3.499,1.681,0.0
878,4.152,0.676,0.0
879,5.502,0.676,0.0
880,6.705,1.826,0.0
881,7.829,3.864,0.0
882,8.895,3.014,0.0
883,9.226,2.666,0.0
884,9.625,2.318,0.0
885,9.108,2.898,0.0
886,9.267,2.898,0.0
887,11.513,0.338,0.0
888,11.423,0.338,0.0
889,11.386,0.338,0.0
890,11.45,0.338,0.0
891,11.715,0.338,0.0
892,11.212,0.338,0.0
893,11.073,0.338,0.0
