,Qs,ElectricConsumption,SolarPVProduction
431,21.931,0.947,0.0
432,22.372,0.947,0.0
433,23.184,0.947,0.0
434,23.83,0.947,0.0
435,24.102,0.947,0.0
436,24.281,0.947,0.0
437,24.602,0.947,0.0
438,19.529,7.573,0.0
439,21.207,6.492,0.0
440,23.849,2.488,0.0
441,17.441,1.893,0.0
442,13.817,1.893,0.0
443,5.953,5.112,0.0
444,0.0,10.603,0.0
445,1.231,4.706,0.0
446,5.327,1.893,0.0
447,10.075,1.893,0.0
448,9.825,5.112,0.0
449,8.841,10.819,0.0
450,11.488,8.439,0.0
451,13.018,7.465,0.0
452,14.467,6.492,0.0
453,13.233,8.114,0.0
454,13.778,8.114,0.0
455,20.566,0.947,0.0
456,21.463,0.947,0.0
457,22.242,0.947,0.0
458,23.085,0.947,0.0
459,23.563,0.947,0.0
460,24.001,0.947,0.0
461,24.38,0.947,0.0
462,19.608,7.573,0.0
463,21.371,6.492,0.0
464,23.95,2.488,0.0
465,17.615,1.893,0.0
466,14.68,1.893,0.0
467,6.73,5.112,0.0
468,0.0,10.603,0.0
469,3.219,4.706,0.0
470,7.312,1.893,0.0
471,11.629,1.893,0.0
472,10.332,5.112,0.0
473,10.056,10.819,0.0
474,12.925,8.439,0.0
475,14.18,7.465,0.0
476,15.366,6.492,0.0
477,13.981,8.114,0.0
478,14.418,8.114,0.0
479,20.976,0.947,0.0
480,21.071,0.947,0.0
481,21.302,0.947,0.0
482,21.53,0.947,0.0
483,21.572,0.947,0.0
484,21.653,0.947,0.0
485,21.831,0.947,0.0
486,16.89,7.573,0.0
487,18.296,6.492,0.0
488,21.021,2.488,0.0
489,13.72,1.893,0.0
490,9.802,1.893,0.0
491,2.319,5.112,0.0
492,0.0,10.603,0.0
493,0.0,4.706,0.0
494,2.506,1.893,0.0
495,7.074,1.893,0.0
496,7.447,5.112,0.0
497,6.585,10.819,0.0
498,9.026,8.439,0.0
499,10.1,7.465,0.0
500,11.051,6.492,0.0
501,9.345,8.114,0.0
502,9.468,8.114,0.0
503,15.87,0.947,0.0
504,15.927,0.947,0.0
505,16.307,0.947,0.0
506,16.481,0.947,0.0
507,16.578,0.947,0.0
508,16.715,0.947,0.0
509,16.864,0.947,0.0
510,11.929,7.573,0.0
511,13.414,6.492,0.0
512,16.688,2.488,0.0
513,14.713,1.893,0.0
514,12.261,1.893,0.0
515,4.347,5.112,0.0
516,0.0,10.603,0.0
517,3.119,4.706,0.0
518,10.219,1.893,0.0
519,11.702,1.893,0.0
520,10.942,5.112,0.0
521,6.887,10.819,0.0
522,9.349,8.439,0.0
523,10.564,7.465,0.0
524,11.826,6.492,0.0
525,10.394,8.114,0.0
526,10.823,8.114,0.0
527,17.332,0.947,0.0
528,18.456,0.947,0.0
529,19.864,0.947,0.0
530,21.125,0.947,0.0
531,22.045,0.947,0.0
532,22.727,0.947,0.0
533,23.377,0.947,0.0
534,18.907,7.573,0.0
535,20.943,6.492,0.0
536,23.423,2.488,0.0
537,16.964,1.893,0.0
538,13.692,1.893,0.0
539,6.017,5.112,0.0
540,0.0,10.603,0.0
541,1.868,4.706,0.0
542,5.81,1.893,0.0
543,10.572,1.893,0.0
544,10.368,5.112,0.0
545,9.968,10.819,0.0
546,13.355,8.439,0.0
547,15.478,7.465,0.0
548,17.489,6.492,0.0
549,16.864,8.114,0.0
550,18.129,8.114,0.0
551,25.502,0.947,0.0
552,26.347,0.947,0.0
553,27.266,0.947,0.0
554,28.315,0.947,0.0
