HP_rating;T_dist;T_outside;P_el;COP
500;35;-7;125,09;4
500;35;-2;113,61;4,4
500;35;2;104,14;4,8
500;35;7;91,92;5,44
500;35;12;79,15;6,32
500;35;15;71,18;7,02
500;35;20;57,2;8,74
500;40;-20;164,04;3,05
500;40;-15;153,55;3,26
500;40;-10;142,82;3,5
500;40;-7;136,26;3,67
500;40;-2;125,09;4
500;40;2;115,93;4,31
500;40;7;104,14;4,8
500;40;12;91,92;5,44
500;40;15;84,33;5,93
500;40;20;71,18;7,02
500;45;-20;174,33;2,87
500;45;-15;164,04;3,05
500;45;-10;153,55;3,26
500;45;-7;147,14;3,4
500;45;-2;136,26;3,67
500;45;2;127,35;3,93
500;45;7;115,93;4,31
500;45;12;104,14;4,8
500;45;15;96,87;5,16
500;45;20;84,33;5,93
500;50;-20;184,43;2,71
500;50;-15;174,33;2,87
500;50;-10;164,04;3,05
500;50;-7;157,77;3,17
500;50;-2;147,14;3,4
500;50;2;138,45;3,61
500;50;7;127,35;3,93
500;50;12;115,93;4,31
500;50;15;108,91;4,59
500;50;20;96,87;5,16
500;55;-20;194,36;2,57
500;55;-15;184,43;2,71
500;55;-10;174,33;2,87
500;55;-7;168,18;2,97
500;55;-2;157,77;3,17
500;55;2;149,28;3,35
500;55;7;138,45;3,61
500;55;12;127,35;3,93
500;55;15;120,54;4,15
500;55;20;108,91;4,59
600;30;-20;171,38;3,5
600;30;-15;158,19;3,79
600;30;-10;144,65;4,15
600;30;-7;136,33;4,4
600;30;-2;122,08;4,91
600;30;2;110,3;5,44
600;30;7;94,99;6,32
600;30;12;78,84;7,61
600;30;15;68,64;8,74
600;30;20;50,44;11,9
600;35;-20;184,26;3,26
600;35;-15;171,38;3,5
600;35;-10;158,19;3,79
600;35;-7;150,11;4
600;35;-2;136,33;4,4
600;35;2;124,97;4,8
600;35;7;110,3;5,44
600;35;12;94,99;6,32
600;35;15;85,41;7,02
600;35;20;68,64;8,74
600;40;-20;196,85;3,05
600;40;-15;184,26;3,26
600;40;-10;171,38;3,5
600;40;-7;163,51;3,67
600;40;-2;150,11;4
600;40;2;139,12;4,31
600;40;7;124,97;4,8
600;40;12;110,3;5,44
600;40;15;101,2;5,93
600;40;20;85,41;7,02
600;45;-20;209,2;2,87
600;45;-15;196,85;3,05
600;45;-10;184,26;3,26
600;45;-7;176,57;3,4
600;45;-2;163,51;3,67
600;45;2;152,82;3,93
600;45;7;139,12;4,31
600;45;12;124,97;4,8
600;45;15;116,24;5,16
600;45;20;101,2;5,93
600;50;-20;221,32;2,71
600;50;-15;209,2;2,87
600;50;-10;196,85;3,05
600;50;-7;189,33;3,17
600;50;-2;176,57;3,4
600;50;2;166,15;3,61
600;50;7;152,82;3,93
600;50;12;139,12;4,31
600;50;15;130,69;4,59
600;50;20;116,24;5,16
600;55;-20;233,23;2,57
600;55;-15;221,32;2,71
600;55;-10;209,2;2,87
600;55;-7;201,82;2,97
600;55;-2;189,33;3,17
600;55;2;179,14;3,35
600;55;7;166,15;3,61
600;55;12;152,82;3,93
600;55;15;144,65;4,15
600;55;20;130,69;4,59
700;30;-20;199,94;3,5
700;30;-15;184,56;3,79
700;30;-10;168,76;4,15
700;30;-7;159,05;4,4
700;30;-2;142,43;4,91
700;30;2;128,69;5,44
700;30;7;110,82;6,32
700;30;12;91,98;7,61
700;30;15;80,08;8,74
700;30;20;58,84;11,9
700;35;-20;214,97;3,26
700;35;-15;199,94;3,5
700;35;-10;184,56;3,79
700;35;-7;175,13;4
700;35;-2;159,05;4,4
700;35;2;145,8;4,8
700;35;7;128,69;5,44
700;35;12;110,82;6,32
700;35;15;99,65;7,02
700;35;20;80,08;8,74
700;40;-20;229,66;3,05
700;40;-15;214,97;3,26
700;40;-10;199,94;3,5
700;40;-7;190,76;3,67
700;40;-2;175,13;4
700;40;2;162,3;4,31
700;40;7;145,8;4,8
700;40;12;128,69;5,44
700;40;15;118,07;5,93
700;40;20;99,65;7,02
700;45;-20;244,07;2,87
700;45;-15;229,66;3,05
700;45;-10;214,97;3,26
700;45;-7;205,99;3,4
700;45;-2;190,76;3,67
700;45;2;178,29;3,93
700;45;7;162,3;4,31
700;45;12;145,8;4,8
700;45;15;135,61;5,16
700;45;20;118,07;5,93
700;50;-20;258,21;2,71
700;50;-15;244,07;2,87
700;50;-10;229,66;3,05
700;50;-7;220,88;3,17
700;50;-2;205,99;3,4
700;50;2;193,84;3,61
700;50;7;178,29;3,93
700;50;12;162,3;4,31
700;50;15;152,47;4,59
700;50;20;135,61;5,16
700;55;-20;272,11;2,57
700;55;-15;258,21;2,71
700;55;-10;244,07;2,87
700;55;-7;235,46;2,97
700;55;-2;220,88;3,17
700;55;2;209;3,35
700;55;7;193,84;3,61
700;55;12;178,29;3,93
700;55;15;168,76;4,15
700;55;20;152,47;4,59
800;30;-20;228,51;3,5
800;30;-15;210,92;3,79
800;30;-10;192,86;4,15
800;30;-7;181,77;4,4
800;30;-2;162,78;4,91
800;30;2;147,07;5,44
800;30;7;126,65;6,32
800;30;12;105,12;7,61
800;30;15;91,52;8,74
800;30;20;67,25;11,9
800;35;-20;245,67;3,26
800;35;-15;228,51;3,5
800;35;-10;210,92;3,79
800;35;-7;200,15;4
800;35;-2;181,77;4,4
800;35;2;166,63;4,8
800;35;7;147,07;5,44
800;35;12;126,65;6,32
800;35;15;113,89;7,02
800;35;20;91,52;8,74
800;40;-20;262,47;3,05
800;40;-15;245,67;3,26
800;40;-10;228,51;3,5
800;40;-7;218,01;3,67
800;40;-2;200,15;4
800;40;2;185,49;4,31
800;40;7;166,63;4,8
800;40;12;147,07;5,44
800;40;15;134,93;5,93
800;40;20;113,89;7,02
800;45;-20;278,93;2,87
800;45;-15;262,47;3,05
800;45;-10;245,67;3,26
800;45;-7;235,42;3,4
800;45;-2;218,01;3,67
800;45;2;203,76;3,93
800;45;7;185,49;4,31
800;45;12;166,63;4,8
800;45;15;154,99;5,16
800;45;20;134,93;5,93
800;50;-20;295,09;2,71
800;50;-15;278,93;2,87
800;50;-10;262,47;3,05
800;50;-7;252,44;3,17
800;50;-2;235,42;3,4
800;50;2;221,53;3,61
800;50;7;203,76;3,93
800;50;12;185,49;4,31
800;50;15;174,25;4,59
800;50;20;154,99;5,16
800;55;-20;310,98;2,57
800;55;-15;295,09;2,71
800;55;-10;278,93;2,87
800;55;-7;269,09;2,97
800;55;-2;252,44;3,17
800;55;2;238,86;3,35
800;55;7;221,53;3,61
800;55;12;203,76;3,93
800;55;15;192,86;4,15
800;55;20;174,25;4,59
900;30;-20;257,07;3,5
900;30;-15;237,29;3,79
900;30;-10;216,97;4,15
900;30;-7;204,49;4,4
900;30;-2;183,13;4,91
900;30;2;165,45;5,44
900;30;7;142,48;6,32
900;30;12;118,26;7,61
900;30;15;102,96;8,74
900;30;20;75,65;11,9
900;35;-20;276,38;3,26
900;35;-15;257,07;3,5
900;35;-10;237,29;3,79
900;35;-7;225,17;4
900;35;-2;204,49;4,4
900;35;2;187,46;4,8
900;35;7;165,45;5,44
900;35;12;142,48;6,32
900;35;15;128,12;7,02
900;35;20;102,96;8,74
900;40;-20;295,28;3,05
900;40;-15;276,38;3,26
900;40;-10;257,07;3,5
900;40;-7;245,26;3,67
900;40;-2;225,17;4
900;40;2;208,68;4,31
900;40;7;187,46;4,8
900;40;12;165,45;5,44
900;40;15;151,8;5,93
900;40;20;128,12;7,02
900;45;-20;313,8;2,87
900;45;-15;295,28;3,05
900;45;-10;276,38;3,26
900;45;-7;264,85;3,4
900;45;-2;245,26;3,67
900;45;2;229,23;3,93
900;45;7;208,68;4,31
900;45;12;187,46;4,8
900;45;15;174,36;5,16
900;45;20;151,8;5,93
900;50;-20;331,98;2,71
900;50;-15;313,8;2,87
900;50;-10;295,28;3,05
900;50;-7;283,99;3,17
900;50;-2;264,85;3,4
900;50;2;249,22;3,61
900;50;7;229,23;3,93
900;50;12;208,68;4,31
900;50;15;196,03;4,59
900;50;20;174,36;5,16
900;55;-20;349,85;2,57
900;55;-15;331,98;2,71
900;55;-10;313,8;2,87
900;55;-7;302,73;2,97
900;55;-2;283,99;3,17
900;55;2;268,71;3,35
900;55;7;249,22;3,61
900;55;12;229,23;3,93
900;55;15;216,97;4,15
900;55;20;196,03;4,59
1000;30;-20;285,64;3,5
1000;30;-15;263,66;3,79
1000;30;-10;241,08;4,15
1000;30;-7;227,21;4,4
1000;30;-2;203,47;4,91
1000;30;2;183,84;5,44
1000;30;7;158,31;6,32
1000;30;12;131,4;7,61
1000;30;15;114,4;8,74
1000;30;20;84,06;11,9
1000;35;-20;307,09;3,26
1000;35;-15;285,64;3,5
1000;35;-10;263,66;3,79
1000;35;-7;250,19;4
1000;35;-2;227,21;4,4
1000;35;2;208,29;4,8
1000;35;7;183,84;5,44
1000;35;12;158,31;6,32
1000;35;15;142,36;7,02
1000;35;20;114,4;8,74
1000;40;-20;328,09;3,05
1000;40;-15;307,09;3,26
1000;40;-10;285,64;3,5
1000;40;-7;272,51;3,67
1000;40;-2;250,19;4
1000;40;2;231,86;4,31
1000;40;7;208,29;4,8
1000;40;12;183,84;5,44
1000;40;15;168,67;5,93
1000;40;20;142,36;7,02
1000;45;-20;348,67;2,87
1000;45;-15;328,09;3,05
1000;45;-10;307,09;3,26
1000;45;-7;294,28;3,4
1000;45;-2;272,51;3,67
1000;45;2;254,7;3,93
1000;45;7;231,86;4,31
1000;45;12;208,29;4,8
1000;45;15;193,73;5,16
1000;45;20;168,67;5,93
1000;50;-20;368,87;2,71
1000;50;-15;348,67;2,87
1000;50;-10;328,09;3,05
1000;50;-7;315,54;3,17
1000;50;-2;294,28;3,4
1000;50;2;276,91;3,61
1000;50;7;254,7;3,93
1000;50;12;231,86;4,31
1000;50;15;217,81;4,59
1000;50;20;193,73;5,16
1000;55;-20;388,72;2,57
1000;55;-15;368,87;2,71
1000;55;-10;348,67;2,87
1000;55;-7;336,37;2,97
1000;55;-2;315,54;3,17
1000;55;2;298,57;3,35
1000;55;7;276,91;3,61
1000;55;12;254,7;3,93
1000;55;15;241,08;4,15
1000;55;20;217,81;4,59
