Hour;Set_T;Temp;SFH15_kWh;SFH45_kWh;SFH100_kWh
328;20;0,7;1249,71;3062,06;6669,09
329;20;0,6;1227,34;2546,63;4823,13
330;20;-0,1;1205,73;3018,06;3765,81
331;20;-1;1183,05;2591,84;8475,83
332;20;-1,7;1161,81;3095,76;8986,2
333;20;-1,7;1141,48;3586,53;9166,95
334;20;-1,7;1121,34;3195,34;5069,82
335;20;-2,3;1102,54;3057,46;10703,9
336;20;-2,7;1085,71;4043,8;5411,16
337;20;-2,9;1467,3;2980,24;9934,92
338;20;-3,4;1633,15;4191,75;6209,27
339;20;-3,5;1678,94;3522,03;7320,87
340;20;-3,4;1723,66;3573,17;13323,4
341;20;-3,8;1767,63;3625,31;4901,13
342;20;-3,9;1809,48;2935,04;7560,79
343;20;-5,4;1850,6;3752,24;10195,5
344;20;-5;1890,32;3239,78;4602,63
345;20;-2,6;1929,8;4411,42;7518,15
346;20;-0,4;1966,51;3778,64;5666,24
347;20;0,1;1979,48;2484,46;2996,67
348;20;0,6;1426,4;2384,92;4361,92
349;20;0,8;1391,78;2293,17;6293,01
350;20;1,2;1357,46;2205,33;7580,29
351;20;0,8;1325,9;2125,24;8104,62
352;20;-0,2;1300,43;2705,17;6989,4
353;20;-1;1277,38;3884,73;4261,16
354;20;-1,4;1254,95;3995,29;9523,04
355;20;-2,1;1691,19;3715,72;5831,49
356;20;-1,9;1805,76;3113,11;4126,91
357;20;-2,6;1845,47;3969,85;7419,52
358;20;-2,5;1883,72;3564,46;4670,04
359;20;-2,5;1921,54;3301,14;9741,15
360;20;-2,8;1960,02;3036,97;12582,5
361;20;-3,4;1998,21;4310,93;4453,32
362;20;-3,1;2035,27;3555,82;6306,87
363;20;-3;2071,33;4189,86;13478,7
364;20;-3,9;2107,05;4165,95;12751,2
365;20;-4;2141,92;4332,89;6454,09
366;20;-3,7;2174,45;4396,92;13511,3
367;20;-2,7;2204,77;3397,46;6119,6
368;20;-1,3;2232,9;4016,78;4501,58
369;20;-1;2260,28;3126,09;3810,39
370;20;-0,5;1673,23;2416,25;2914,51
371;20;-0,2;1634,27;2326,66;3185,81
372;20;0,5;1597,89;2972,13;8337,7
373;20;0,3;1544,64;2191,74;4620,82
374;20;0,1;1512,03;3202,42;3971,65
375;20;-0,6;1474,56;2316,85;3830,08
376;20;-1,6;1445,07;3989,38;9292,88
377;20;-2,1;1418,28;4016,16;4459,48
378;20;-2,2;1392,05;4079,54;9434,27
379;20;-2,1;1364,29;2947,01;5114,58
380;20;-2,3;1337,88;3222,29;3743,08
381;20;-2,3;1312,58;2952,76;5671,12
382;20;-2,6;1287,8;3645,26;4320,53
383;20;-2,8;1264,32;2989,54;9403,64
384;20;-3,1;1772,29;4022,58;4396,9
385;20;-3,1;1830,4;4309,51;9347,04
386;20;-3,2;1871,57;3600,64;5469,69
387;20;-3,2;1911,76;4395,81;9796,48
388;20;-3,1;1950,93;4445,3;4540,21
389;20;-2,8;1988,94;3261,53;4540,78
390;20;-2,6;2024,67;4362,82;15477,1
391;20;-2,5;2058,74;3178,73;9542,37
392;20;-2,2;2091,88;2672,63;5226,02
393;20;-1,9;2116,23;3212,9;8278,89
394;20;-2;1622,3;3371,9;7136,57
395;20;-1,7;1529,54;2346,12;2994,37
396;20;-1,5;1486,41;2256,1;3259,66
397;20;-1,7;1448,24;2172,86;3316,08
398;20;-2;1416,4;3889,48;6458,71
399;20;-2,3;1387,45;4010,62;5093,9
400;20;-2,5;1362;3981,14;5070,03
401;20;-2,7;1338,1;3504,71;7747,43
402;20;-2,7;1314,6;3476,42;4391,03
403;20;-2,8;1289,62;4055,7;9481,79
404;20;-2,8;1265,77;3938,37;6932,31
405;20;-2,9;1242,98;2794,59;12675,3
406;20;-3,1;1545,78;3050,48;5279,44
407;20;-3,1;1789,14;3990,06;9905,33
408;20;-3,3;1831,07;4318,95;12616,8
409;20;-3,4;1872,35;3676;4144,59
410;20;-3,4;1912,65;3250,93;8844,91
411;20;-3,5;1952,05;4413,83;12867,9
412;20;-3,5;1990,47;4368,47;4577,09
413;20;-3,7;2028,08;4275,51;6332,42
414;20;-3,6;2063,46;4357,21;13289,5
415;20;-3,6;2097,23;3008,85;5371,48
416;20;-3,6;2130,66;3269,63;4574,06
417;20;-3,4;2161,06;4202,03;4489,86
418;20;-3,1;2190,96;3932,52;5128,9
419;20;-2,9;2217,86;3820,32;3822,26
420;20;-2,7;2245,19;3800,93;7360,95
421;20;-2,6;2271,26;2728,03;5036,48
422;20;-2,5;1800,27;2860,42;8998,79
423;20;-2,8;2055;3602,17;3604,06
424;20;-3,1;2290,63;4431;9903,07
425;20;-3,1;2320,49;4343,81;6203,8
426;20;-3,1;2349,19;4441,75;9924,05
427;20;-3,1;1776,91;3217,3;15395
428;20;-3,1;2039,73;3557,9;15503,1
429;20;-3,1;2041,74;3156,09;4258,04
430;20;-3,2;2107,63;3133,16;4160,29
431;20;-3,2;1938,46;3143,87;4579,73
432;20;-3,1;2327,34;4009,52;5911,09
433;20;-3,2;2355,91;3779,51;9529,38
434;20;-3,3;2383,74;3322,07;13250,8
435;20;-3,3;2410,81;3583,47;9764,41
436;20;-3,4;2429,63;3755,56;9964,83
437;20;-3,5;2362,94;3617,2;6249,8
438;20;-3,5;1976,69;3750,67;13181,6
439;20;-3,5;2131,25;3648,34;5355,45
440;20;-3,5;2301,92;3485,91;12907,7
441;20;-3,3;1803,42;4342,45;4643,27
442;20;-3,1;1762,4;3551,84;8316,34
443;20;-2,8;1721,16;3789,25;6062,03
444;20;-2,5;1681,98;2761,43;4494,56
445;20;-2,4;1644,07;3100,53;12829,3
446;20;-2,3;1607,32;3311,38;7068,9
447;20;-2,5;1572,76;3421,33;4275,51
448;20;-2,7;2129,98;3631,75;6383,57
449;20;-2,8;2164,58;4313,71;11043,6
