,Qs,HeatStockTemperature,DHWStockTemperature,ElectricConsumption,SolarPVProduction
227,18.407,40.0,52.9,4.382,0.0
228,13.701,40.0,51.4,9.088,0.0
229,9.11,40.0,50.2,4.034,0.0
230,11.646,40.0,70.0,1.623,0.0
231,14.303,40.0,68.9,1.623,0.0
232,16.487,40.0,67.3,4.382,0.0
233,13.872,40.0,65.3,9.274,0.0
234,16.126,40.0,62.7,7.233,0.0
235,17.363,40.0,59.1,6.399,0.0
236,18.545,40.0,55.9,5.564,0.0
237,17.367,40.0,54.0,6.955,0.0
238,17.739,40.0,52.2,6.955,0.0
239,23.341,40.0,52.1,0.811,0.0
240,23.877,40.0,52.0,0.811,0.0
241,24.349,40.0,51.8,0.811,0.0
242,24.791,40.0,51.7,0.811,0.0
243,25.033,40.0,51.6,0.811,0.0
244,25.29,40.0,51.5,0.811,0.0
245,25.437,40.0,70.0,0.811,0.0
246,21.263,40.0,65.4,6.492,0.0
247,22.87,40.0,60.8,5.564,0.0
248,25.05,40.0,58.8,2.133,0.0
249,18.372,40.0,58.0,1.623,0.0
250,14.17,40.0,57.1,1.623,0.0
251,8.925,40.0,55.9,4.382,0.0
252,1.523,40.0,54.2,9.088,0.0
253,5.75,40.0,53.0,4.034,0.0
254,9.697,40.0,52.2,1.623,0.0
255,11.679,40.0,51.4,1.623,0.0
256,11.302,40.0,50.3,4.382,0.0
257,12.052,40.0,70.0,9.274,0.0
258,14.778,40.0,67.2,7.233,0.0
259,16.424,40.0,63.3,6.399,0.0
260,17.978,40.0,59.9,5.564,0.0
261,17.114,40.0,57.8,6.955,0.0
262,17.964,40.0,55.9,6.955,0.0
263,23.901,40.0,55.8,0.811,0.0
264,24.546,40.0,55.6,0.811,0.0
265,25.804,40.0,55.5,0.811,0.0
266,27.041,40.0,55.4,0.811,0.0
267,27.655,40.0,55.2,0.811,0.0
268,28.253,40.0,55.1,0.811,0.0
269,28.87,40.0,53.0,0.811,0.0
270,24.912,40.0,70.0,6.492,0.0
271,26.795,40.0,65.1,5.564,0.0
272,29.519,40.0,62.9,2.133,0.0
273,23.644,40.0,62.0,1.623,0.0
274,20.654,40.0,61.1,1.623,0.0
275,13.479,40.0,59.7,4.382,0.0
276,7.671,40.0,57.9,9.088,0.0
277,14.43,40.0,56.6,4.034,0.0
278,16.224,40.0,55.8,1.623,0.0
279,21.962,40.0,54.9,1.623,0.0
280,23.391,40.0,53.7,4.382,0.0
281,21.674,40.0,52.1,9.274,0.0
282,23.875,40.0,50.1,7.233,0.0
283,25.237,40.0,70.0,6.399,0.0
284,26.441,40.0,66.3,5.564,0.0
285,25.343,40.0,63.9,6.955,0.0
286,25.858,40.0,61.8,6.955,0.0
287,31.618,40.0,61.6,0.811,0.0
288,31.529,40.0,61.5,0.811,0.0
289,31.49,40.0,61.3,0.811,0.0
290,31.227,40.0,61.2,0.811,0.0
291,30.873,40.0,61.0,0.811,0.0
292,30.888,40.0,60.8,0.811,0.0
293,30.743,40.0,58.5,0.811,0.0
294,26.237,40.0,54.7,6.492,0.0
295,27.367,40.0,51.0,5.564,0.0
296,29.807,40.0,70.0,2.133,0.0
297,22.063,40.0,69.0,1.623,0.0
298,18.522,40.0,67.9,1.623,0.0
299,12.38,40.0,66.4,4.382,0.0
300,4.562,40.0,64.4,9.088,0.0
301,8.433,40.0,63.0,4.034,0.0
302,13.093,40.0,62.0,1.623,0.0
303,14.64,40.0,61.0,1.623,0.0
304,14.733,40.0,59.6,4.382,0.0
305,15.984,40.0,57.9,9.274,0.0
306,17.619,40.0,55.6,7.233,0.0
307,18.64,40.0,52.4,6.399,0.0
308,19.747,40.0,70.0,5.564,0.0
309,18.268,40.0,67.5,6.955,0.0
310,18.288,40.0,65.2,6.955,0.0
311,23.79,40.0,65.1,0.811,0.0
312,24.318,40.0,64.9,0.811,0.0
313,24.845,40.0,64.8,0.811,0.0
314,25.515,40.0,64.6,0.811,0.0
315,25.8,40.0,64.4,0.811,0.0
316,26.079,40.0,64.3,0.811,0.0
317,26.257,40.0,61.8,0.811,0.0
318,22.073,40.0,57.8,6.492,0.0
319,23.658,40.0,53.8,5.564,0.0
320,25.921,40.0,52.0,2.133,0.0
321,22.631,40.0,51.3,1.623,0.0
322,24.309,40.0,50.5,1.623,0.0
323,20.817,40.0,70.0,4.382,0.0
324,7.72,40.0,67.9,9.088,0.0
325,11.459,40.0,66.3,4.034,0.0
326,14.156,40.0,65.3,1.623,0.0
327,16.394,40.0,64.3,1.623,0.0
328,15.692,40.0,62.8,4.382,0.0
329,16.758,40.0,60.9,9.274,0.0
330,19.014,40.0,58.6,7.233,0.0
331,20.258,40.0,55.2,6.399,0.0
332,21.483,40.0,52.3,5.564,0.0
333,20.355,40.0,50.5,6.955,0.0
334,20.976,40.0,70.0,6.955,0.0
335,26.732,40.0,69.8,0.811,0.0
336,27.245,40.0,69.6,0.811,0.0
337,27.688,40.0,69.5,0.811,0.0
338,28.16,40.0,69.3,0.811,0.0
339,28.371,40.0,69.1,0.811,0.0
340,28.554,40.0,68.9,0.811,0.0
341,28.728,40.0,66.2,0.811,0.0
342,24.63,40.0,61.9,6.492,0.0
343,25.98,40.0,57.6,5.564,0.0
344,27.545,40.0,55.7,2.133,0.0
345,20.919,40.0,54.9,1.623,0.0
346,18.152,40.0,54.1,1.623,0.0
347,12.083,40.0,52.9,4.382,0.0
348,7.077,40.0,51.4,9.088,0.0
349,12.326,40.0,50.2,4.034,0.0
350,21.03,40.0,70.0,1.623,0.0
351,24.275,40.0,68.9,1.623,0.0
352,23.231,40.0,67.3,4.382,0.0
353,19.942,40.0,65.3,9.274,0.0
354,21.747,40.0,62.7,7.233,0.0
355,22.796,40.0,59.1,6.399,0.0
356,23.689,40.0,55.9,5.564,0.0
